英文名,性别,音标,中文译名,来源,流行度
Trotter,中性,['tr&#596;t&#601;],特罗特,中世纪英语,★★
Troy,男性,[tr&#596;i],特罗伊,盖尔语,★
Trudy,女性,['tru:di],特鲁迪,德语,无
Truman,男性,['tru:m&#601;n],特鲁曼；杜鲁门,古英语,★
Tucker,中性,['t&#652;k&#601;],塔克,古英语,★★★★
Turner,中性,['t&#601;:n&#601;],特纳,中世纪英语,★★★★
Tuttle,中性,['t&#652;tl],塔特尔,英语,★★
Tyler,男性,['tail&#601;],泰勒,古英语,★★★
Tyson,男性,['tais&#601;n],泰森,古法语,★★
Ulysses,男性,['ju:lisi:z],尤利塞斯,拉丁语,无
Una,女性,['ju:n&#601;],尤娜,拉丁语,无
Underwood,中性,['&#652;nd&#601;wud],昂德伍德,中世纪英语,★★★
Ursula,女性,['&#601;:sjul&#601;],乌苏拉,拉丁语,无
Val,中性,[v&#230;l],瓦尔,拉丁语,无
Valentin,中性,['v&#230;l&#601;ntin],瓦伦丁,拉丁语,★★
Valentine,中性,['v&#230;l&#601;ntain],瓦伦丁,拉丁语,★★★
Valeria,女性,[v&#601;'li&#601;ri&#601;],瓦莱里亚,拉丁语,无
Valerie,女性,['v&#230;l&#601;ri],瓦莱丽,拉丁语,无
Valery,女性,[.v&#230;l&#601;'ri:],瓦莱丽/瓦莱里,拉丁语,无
Van,男性,[v&#230;n],范；梵,荷兰语,★
Vance,男性,[v&#230;ns],万斯,古英语,★★★
Vanessa,女性,[v&#601;'nes&#601;],凡妮莎,希腊语,无
Vann,中性,[v&#230;n],范恩,英语,★★
Vargas,中性,['wa:g&#601;s],瓦加斯,,★★★
Vaughan,中性,[v&#596;:n],沃恩,盖尔语,★★★
Vaughn,中性,[van],沃恩,威尔士语,★★★
Vega,中性,['vi:g&#601;],维加,阿拉伯语,★★★
Venus,女性,['vi:n&#601;s],维纳斯,希腊语,无
Vera,女性,['vi&#601;r&#601;],薇拉,拉丁语,★★
Verena,女性,[v&#601;'ri:n&#601;],维丽娜,德语,无
Vernon,男性,['v&#601;:n&#601;n],弗农,高卢语,★★
Veronica,女性,[v&#601;'r&#596;nik&#601;],维罗妮卡,拉丁语,无
Vesta,女性,['vest&#601;],维斯塔,拉丁语,无
Vicente,男性,[vi'senti],维森特,西班牙语,★
Vickers,中性,['vik&#601;z],维克斯,中世纪英语,★★
Vicki,女性,['viki],维基,拉丁语,无
Vickie,女性,['viki],维基,拉丁语,无
Vicky,女性,['viki],维基,拉丁语,无
Victor,男性,['vikt&#601;],维克托,拉丁语,★
Victoria,女性,[vik't&#596;:ri&#601;],维多利亚,拉丁语,★
Vida,女性,['vi:d&#601;],维达,西班牙语,无
Villa,中性,['vil&#601;],比利亚,,★★
Vince,男性,[vins],文斯,拉丁语,无
Vincent,男性,['vins&#601;nt],文森特,拉丁语,★★★
Vinson,男性,['vinsn],文森,古英语,★★
Viola,女性,['vai&#601;l&#601;],维奥拉,拉丁语,★
Violet,女性,['vai&#601;lit],瓦奥莱特,拉丁语,无
Virgil,男性,['v&#601;:d&#658;il],弗吉尔,拉丁语,★
Virginia,女性,[v&#601;(:)'d&#658;inj&#601;],弗吉尼亚,拉丁语,无
Vivian,中性,['vivi&#601;n],维维安,拉丁语,★
Vivien,女性,['vivi&#601;n],维维恩,亚瑟王传说,无
Voss,中性,[v&#596;s],沃斯,英语,★★
Waddell,中性,[w&#596;'del],沃德尔,古英语,★★
Wade,男性,[weid],韦德,英语,★★★
Waite,男性,[weit],韦特,中世纪英语,★★
Walden,男性,['w&#596;:ld&#601;n],沃尔登,古英语,★★
Waldo,男性,['w&#596;:ld&#601;u],沃尔多,古德语,★
Waldron,男性,['w&#596;:ldr&#601;n],沃尔德伦,日耳曼语,★★
Walker,男性,['w&#596;:k&#601;],沃克,古英语,★★★★★
Wall,男性,[w&#596;:l],沃尔,古英语,★★★
Wallace,男性,['w&#596;lis],华莱士,法语,★★★★
Waller,男性,['w&#596;l&#601;],沃勒,古英语,★★★
Walls,中性,[w&#596;:lz],沃尔斯,英语,★★★
Wally,中性,['weili],沃利,德语,无
Walsh,中性,[w&#596;:l&#643;],沃尔什,古英语,★★★
Walter,男性,['w&#596;:lt&#601;],沃尔特,日耳曼语,★★★
Walters,中性,[.w&#596;:lt&#601;z],沃尔特斯,,★★★
Walton,男性,['w&#596;:lt&#601;n],沃尔顿；瓦尔顿,古英语,★★★
Wanda,女性,['w&#596;nd&#601;],旺达,德语，斯拉夫语,无
Ward,男性,[w&#596;:d],沃德,古英语,★★★★
Ware,男性,[w&#603;&#601;],韦尔,古英语,★★★
Warner,男性,['w&#596;:n&#601;],沃纳,日耳曼语,★★★
Warren,男性,['w&#596;r&#601;n],沃伦,日耳曼语,★★★★
Washburn,男性,['w&#596;&#643;b&#604;:n],沃什伯恩,古英语,★★
Washington,男性,['w&#596;&#643;i&#331;t&#601;n],华盛顿,古英语,★★★★
Waters,中性,['w&#596;:t&#601;z],沃特斯,英语,★★★
Watkins,男性,['w&#596;tkinz],沃特金斯,古英语,★★★★
Watson,中性,['w&#596;tsn],沃森,古英语,★★★★
Watt,男性,[w&#596;t],瓦特,中世纪英语,★★
Watts,男性,[w&#596;ts],沃茨,英语,★★★
Wayne,男性,[wein],韦恩,古英语,★
Weathers,中性,['we&#240;&#601;z],韦瑟斯,,★★
Weaver,中性,['wi:v&#601;],韦弗,古英语,★★★★
Webb,男性,[web],韦布,古英语,★★★★
Webber,男性,['web&#601;],韦伯,德语,★★
Weber,男性,['veib&#601;],韦伯,德语,★★★
Webster,男性,['webst&#601;],韦伯斯特,古英语,★★★
Weeks,中性,[wi:ks],威克斯,英语,★★★
Weir,中性,[wi&#601;],韦尔,盖尔语,★★
Welch,中性,[wel&#643;],韦尔奇,英语,★★★
Weldon,男性,['weld&#601;n],韦尔登,英语,★★
Weller,中性,['wel&#601;],韦勒,英语,★★
Wells,中性,[wels],韦尔斯,古英语,★★★★
Welsh,中性,[wel&#643;],韦尔什,英语,★★
Wendell,男性,['wendl],温德尔,自日耳曼语,★
Wendy,女性,['wendi],温迪,英语,无
Werner,中性,['w&#601;:n&#601;],维尔纳,古德语,★★
Wesley,男性,['wezli],韦斯利,古英语,★★
West,男性,[west],韦斯特,英语,★★★★
Westbrook,男性,['westbruk],维斯布鲁克,古英语,★★
Weston,男性,['west&#601;n],韦斯顿,古英语,★★
Whalen,中性,['hweil&#601;n],惠伦,爱尔兰语,★★
Whaley,中性,['hweili],惠利,英语,★★
Whatley,中性,['hw&#596;tli],沃特利,英语,★★
Wheeler,男性,['wi:l&#601;],惠勒,中世纪英语,★★★★
Whitaker,中性,['hwit&#601;k&#601;(r)],惠特克,英语,★★★
White,中性,[wait],怀特,中世纪英语,★★★★★
Whitehead,男性,['(h)wait.hed],怀特海德,古英语,★★★
Whitfield,男性,['hwitfi:ld],惠特菲尔德,古英语,★★
Whitley,中性,['hwitli],惠特利,古英语,★★
Whitlock,男性,['hwitl&#596;k],惠特洛克,古英语,★★
Whitman,中性,['hwitm&#601;n],惠特曼,中世纪英语,★★
Whitmore,男性,['hwitm&#596;:],惠特莫尔,古英语,★★
Whitney,中性,['hwitni],惠特尼,古英语,★★★
Whitt,中性,[hwit],惠特,,★★
Whittaker,男性,['hwit&#601;k&#601;],惠特克,古英语,★★
Whittington,中性,['hwiti&#331;t&#601;n],惠廷顿,古英语,★★
Wiggins,中性,['wiginz],威金斯,英语,★★★
Wilbert,男性,['wilb&#601;t],威尔伯特,古德语,★
Wilbur,男性,['wilb&#601;],威尔伯,日耳曼语,★★
Wilcox,中性,['wilk&#596;ks],威尔科克斯,英语,★★★
Wilder,男性,['waild&#601;],怀尔德,德语,★★★
Wilfred,男性,['wilfrid],威尔弗雷德,德语,无
Wilhelmina,女性,[.wil&#601;'mi:n&#601;],威廉敏娜,古德语,无
Wilkerson,中性,['wilk&#601;sn],威尔克森,英语,★★★
Wilkes,中性,[wilks],威尔克斯,古英语,★★
Wilkins,中性,['wilkinz],威尔金斯,英语,★★★
Wilkinson,男性,['wilkinsn],威尔金森,古英语,★★★
Will,男性,[wil],威尔,中世纪英语,★
Willard,男性,['wil&#593;:d],威拉德,古英语,★★
Willett,中性,['wilit],威利特,英语,★★
William,男性,['wilj&#601;m],威廉,古德语,★★★
Williams,中性,['wij&#601;mz],威廉斯,英语,★★★★★
Williamson,男性,['wilj&#601;ms&#601;n],威廉姆森,古德语,★★★★
Willie,中性,['wili],威利,英语,★
Willis,男性,['wilis],威利斯,德语,★★★★
Willoughby,男性,['wil&#601;bi],威洛比,古英语,★★
Wills,中性,[wilz],威尔斯,英语,★★
Wilma,女性,['wilm&#601;],威尔玛,古德语,无
Wilson,男性,['wilsn],威尔森,德语,★★★★★
Wilton,男性,['wilt&#601;n],威尔顿,古英语,★
Winfred,男性,['winfrid],温弗雷德,古英语，德语,无
Winifred,女性,['winifrid],威尼弗雷德,威尔士语,无
Winn,中性,[win],温,古英语,★★
Winnie,女性,['wini:],温妮,凯尔特语,无
Winslow,男性,['winzl&#601;u],温斯洛,古英语,★★
Winston,男性,['winst&#601;n],温斯顿,古英语,★★
Winter,中性,['wint&#601;],温特,古英语，美国英语,★★
Winters,中性,['wint&#601;z],温特斯,英语,★★★
Wise,中性,[waiz],怀斯,中世纪英语,★★★
Wiseman,中性,['waizm&#601;n],怀斯曼,,★★
Witherspoon,中性,['wi&#240;&#601;.spu:n],威瑟斯庞,中世纪英语,★★
Witt,男性,[wit],威特,英语,★★★
Wolf,男性,[wulf],沃尔夫,英语,★★★
Wolfe,男性,[wulf],沃尔夫,古英语,★★★
Wood,男性,[wud],伍德,美国英语,★★★★
Woodall,中性,['wud&#601;l],伍德尔,,★★
Xavier,男性,['zeivj&#601;(r)],泽维尔,阿拉伯语,★
Xenia,女性,['zi:ni&#601;],泽尼娅,希腊语,无
Yarbrough,中性,['ja:br&#601;],亚伯勒,古英语,★★
Yates,男性,[jeits],耶茨,中世纪英语,★★★
Yeager,中性,['jeig&#601;],耶格尔,,★★
Yolande,女性,[j&#601;&#650;'l&#230;nd&#601;],尤兰德,法语,无
Yong,中性,[j&#652;&#331;],扬,韩语,★
York,男性,[j&#596;:k],约克,古英语,★★★
Young,男性,[j&#652;n],杨,中世纪英语,★★★★★
Yvette,女性,[i'vet],伊薇特,斯堪的纳维亚语，法语,无
Yvonne,女性,[i'v&#596;n],伊冯娜,法语,无
Zachariah,男性,[.z&#230;k&#601;'rai&#601;],扎卡赖亚,希伯来语,无
Zachary,男性,['z&#230;k&#601;ri],扎卡里,希伯来语,★
Zack,男性,[z&#230;k],扎克,英语,★
Zandra,女性,['z&#230;ndr&#601;],赞德拉,希腊语,无
Zapata,中性,[z&#601;'pa:t&#601;],萨帕塔,,★★
Zena,女性,['zi:n&#601;],齐娜,波斯语,无
Zenia,女性,['zi:ni&#601;],齐尼娅,希腊语,无
Zenobia,女性,[zi'n&#601;ubj&#601;],泽诺比垭,希腊语，拉丁语,无
Ziegler,中性,['zi:gl&#601;],齐格勒,,★★
Zoe,女性,['z&#601;ui],佐伊,希腊语,无
Zola,女性,['z&#601;ul&#601;],左拉,意大利语,无
